title,property_type,bedrooms,bathrooms,monthly_rent,available_from,is_available,address
"Bright 3 Bed Apartment in Bhadrakali, Pokhara",apartment,3,2,12097,7/30/2025,TRUE,"Bhadrakali, Pokhara"
"Spacious 3 Bed Apartment in Jhumka, Sunsari",apartment,3,2,12982,7/14/2025,TRUE,"Jhumka, Sunsari"
"Cozy Room in Farulachaur, Salyan",room,1,1,9146,8/21/2025,FALSE,"Farulachaur, Salyan"
"Bright 2 Bed House in Laukaha, Rautahat",house,2,4,21612,8/29/2025,FALSE,"Laukaha, Rautahat"
"Modern 3 Bed Apartment in Kalighat, Bhaktapur",apartment,3,1,10306,9/12/2025,TRUE,"Kalighat, Bhaktapur"
"Spacious 3 Bed Apartment in Mahalaxmi Chowk, Lalitpur",apartment,3,3,13455,9/13/2025,TRUE,"Mahalaxmi Chowk, Lalitpur"
"Modern Room in Tinkune, Kathmandu",room,1,1,9754,7/25/2025,TRUE,"Tinkune, Kathmandu"
"Spacious Room in Kamalbazar, Achham",room,1,1,5277,7/21/2025,TRUE,"Kamalbazar, Achham"
"Cozy 2 Bed Apartment in KaMaNaPa-9 Pinglasthan, Gaushala, Kathmandu",apartment,2,2,10089,8/6/2025,FALSE,"KaMaNaPa-9 Pinglasthan, Gaushala, Kathmandu"
"Charming 4 Bed House in Bheemdutta, Jimuwa, Kanchanpur",house,4,2,18747,8/20/2025,TRUE,"Bheemdutta, Jimuwa, Kanchanpur"
"Modern Room in Syuna, Kalikot",room,1,1,7600,8/24/2025,FALSE,"Syuna, Kalikot"
"Bright 2 Bed House in Shankarnagar, Rupandehi",house,2,3,15356,8/22/2025,TRUE,"Shankarnagar, Rupandehi"
"Bright 3 Bed House in Submetropolitan city-4, Sunsari",house,3,3,17289,7/12/2025,TRUE,"Submetropolitan city-4, Sunsari"
"Bright 2 Bed House in Bahun Tilpung-3, Sindhuli",house,2,1,18039,8/29/2025,FALSE,"Bahun Tilpung-3, Sindhuli"
"Bright 3 Bed Apartment in Laxminiya 7, Mahottari",apartment,3,1,11527,8/27/2025,TRUE,"Laxminiya 7, Mahottari"
"Cozy Room in Rabi 5, Panchthar",room,1,1,9370,7/13/2025,TRUE,"Rabi 5, Panchthar"
"Cozy 2 Bed Apartment in Doramba 4, Ramechhap",apartment,2,2,11583,7/20/2025,FALSE,"Doramba 4, Ramechhap"
"Cozy 3 Bed Apartment in Shivanath Ga.Pa-2, Sharmali, Baitadi",apartment,3,3,12183,9/14/2025,TRUE,"Shivanath Ga.Pa-2, Sharmali, Baitadi"
"Cozy 4 Bed House in Basantapur, Tehrathum",house,4,2,18193,8/16/2025,TRUE,"Basantapur, Tehrathum"
"Spacious Room in Ghar 5, Myagdi",room,1,1,5977,7/8/2025,TRUE,"Ghar 5, Myagdi"
"Spacious 3 Bed Apartment in Maharajjung-1, Kapilbastu",apartment,3,3,13760,8/3/2025,FALSE,"Maharajjung-1, Kapilbastu"
"Modern Room in Kirtinager, Lukhudeurali 9, Parbat",room,1,1,7566,7/15/2025,TRUE,"Kirtinager, Lukhudeurali 9, Parbat"
"Cozy Room in Maharajgung, Kathmandu",room,1,1,7853,8/16/2025,FALSE,"Maharajgung, Kathmandu"
"Charming 2 Bed House in Methinkot-8, Kavrepalanchowk",house,2,4,23779,7/17/2025,FALSE,"Methinkot-8, Kavrepalanchowk"
"Cozy 2 Bed Apartment in Bhadrapur, Jhapa",apartment,2,3,10890,6/30/2025,FALSE,"Bhadrapur, Jhapa"
"Spacious 3 Bed House in Satasidham-9, Dudhe, Jhapa",house,3,4,19328,9/9/2025,FALSE,"Satasidham-9, Dudhe, Jhapa"
"Charming 3 Bed House in Marsyangdi, Lamjung",house,3,3,22009,7/28/2025,FALSE,"Marsyangdi, Lamjung"
"Charming 3 Bed Apartment in Sindhuli madhi, Sindhuli",apartment,3,1,14067,9/2/2025,TRUE,"Sindhuli madhi, Sindhuli"
"Spacious Room in Padampokhari 1, Makawanpur",room,1,1,8715,9/9/2025,TRUE,"Padampokhari 1, Makawanpur"
"Spacious Room in Shankar Nagar, Rupandehi",room,1,1,6724,8/8/2025,TRUE,"Shankar Nagar, Rupandehi"
"Spacious 2 Bed House in Bhairahawa, Rupandehi",house,2,4,22839,7/15/2025,TRUE,"Bhairahawa, Rupandehi"
"Cozy Room in Tamghas, Gulmi",room,1,1,6638,9/13/2025,FALSE,"Tamghas, Gulmi"
"Elegant 2 Bed House in Chilaunebas, Syangja",house,2,4,22981,9/21/2025,TRUE,"Chilaunebas, Syangja"
"Cozy 3 Bed Apartment in Putalisadak, Kathmandu",apartment,3,3,12046,7/18/2025,TRUE,"Putalisadak, Kathmandu"
"Modern 2 Bed House in Thapathali, Kathmandu",house,2,2,20803,7/11/2025,TRUE,"Thapathali, Kathmandu"
"Modern Room in Gothatar 8, Kathmandu",room,1,1,5959,7/7/2025,TRUE,"Gothatar 8, Kathmandu"
"Cozy 3 Bed House in Huti VDC, Darchula",house,3,3,22616,9/5/2025,TRUE,"Huti VDC, Darchula"
"Elegant Room in Khasauli, Palpa",room,1,1,6160,7/31/2025,TRUE,"Khasauli, Palpa"
"Elegant 2 Bed Apartment in Rauta, Udayapur",apartment,2,3,11992,7/7/2025,FALSE,"Rauta, Udayapur"
"Bright 3 Bed House in Damauli, Tanahau",house,3,3,21769,9/20/2025,TRUE,"Damauli, Tanahau"
"Bright Room in Bhajeswor, Achham",room,1,1,8152,8/22/2025,TRUE,"Bhajeswor, Achham"
"Cozy 2 Bed House in Manthali, Ramechhap",house,2,3,24591,8/1/2025,TRUE,"Manthali, Ramechhap"
"Bright 4 Bed House in Ka.Ma.Na.Pa. 16, Sorakhutte, Kathmandu",house,4,4,19909,7/13/2025,FALSE,"Ka.Ma.Na.Pa. 16, Sorakhutte, Kathmandu"
"Elegant 3 Bed House in Sano shree 3, Bardiya",house,3,2,23276,9/2/2025,FALSE,"Sano shree 3, Bardiya"
"Bright 4 Bed House in KaMaNaPa, Kathmandu",house,4,4,18610,8/11/2025,TRUE,"KaMaNaPa, Kathmandu"
"Cozy 4 Bed House in Dharan-12, Sunsari",house,4,2,15439,8/12/2025,TRUE,"Dharan-12, Sunsari"
"Elegant 3 Bed House in Punarbas, Kanchanpur",house,3,1,15311,7/15/2025,TRUE,"Punarbas, Kanchanpur"
"Charming 2 Bed Apartment in Dashrath chand NP-1, Shahilek, Baitadi",apartment,2,2,10464,7/7/2025,TRUE,"Dashrath chand NP-1, Shahilek, Baitadi"
"Cozy 3 Bed Apartment in Ratancha, Khotang",apartment,3,2,12404,9/3/2025,FALSE,"Ratancha, Khotang"
"Cozy 2 Bed House in Rangeli, Morang",house,2,3,20772,7/21/2025,TRUE,"Rangeli, Morang"
"Charming 2 Bed House in Taruka 2, Nuwakot",house,2,3,22733,9/24/2025,TRUE,"Taruka 2, Nuwakot"
"Bright 2 Bed House in Nayabazaar, Kathmandu",house,2,1,17605,7/31/2025,FALSE,"Nayabazaar, Kathmandu"
"Spacious Room in DSP Road, Biratnagar, Morang",room,1,1,5669,8/21/2025,FALSE,"DSP Road, Biratnagar, Morang"
"Elegant Room in Okhaldhunga, Okhaldhunga",room,1,1,8563,7/15/2025,TRUE,"Okhaldhunga, Okhaldhunga"
"Bright Room in Krishnapur Nagarpalika 5, Gulariya, Kailali",room,1,1,6729,8/17/2025,FALSE,"Krishnapur Nagarpalika 5, Gulariya, Kailali"
"Elegant 3 Bed Apartment in Samakhushi Out of Ringroad, Kathmandu",apartment,3,2,14713,7/19/2025,FALSE,"Samakhushi Out of Ringroad, Kathmandu"
"Charming 2 Bed Apartment in Bhinghe, Pyuthan",apartment,2,3,14516,8/25/2025,FALSE,"Bhinghe, Pyuthan"
"Spacious 2 Bed House in Charpane, Jhapa",house,2,3,24206,9/1/2025,TRUE,"Charpane, Jhapa"
"Bright Room in Pipara, Mahottari",room,1,1,9245,8/1/2025,TRUE,"Pipara, Mahottari"
"Bright 4 Bed House in Dipayal, Silghadhi, Doti",house,4,2,17448,9/18/2025,TRUE,"Dipayal, Silghadhi, Doti"
"Elegant Room in Janakpurdham, Janakpur",room,1,1,7992,6/28/2025,FALSE,"Janakpurdham, Janakpur"
"Spacious 3 Bed Apartment in Ithari 14, Sunsari",apartment,3,2,13664,9/22/2025,FALSE,"Ithari 14, Sunsari"
"Charming 3 Bed Apartment in Karmiya 5, Sarlahi",apartment,3,3,11528,6/29/2025,TRUE,"Karmiya 5, Sarlahi"
"Modern Room in KTM-10, Binayak Nagar, New Baneswor, Kathmandu",room,1,1,5244,7/26/2025,FALSE,"KTM-10, Binayak Nagar, New Baneswor, Kathmandu"
"Modern Room in Devkota Sadak (Mid-Baneshwor), Kathmandu",room,1,1,6492,7/20/2025,FALSE,"Devkota Sadak (Mid-Baneshwor), Kathmandu"
"Bright 2 Bed Apartment in Salleri, Solukhumbu",apartment,2,1,13426,8/4/2025,TRUE,"Salleri, Solukhumbu"
"Charming 4 Bed House in NayaBazar, Kathmandu",house,4,1,21395,6/27/2025,FALSE,"NayaBazar, Kathmandu"
"Modern 2 Bed House in Simara, Bara",house,2,1,17841,7/6/2025,FALSE,"Simara, Bara"
"Cozy 3 Bed Apartment in Lokanthali, Bhaktapur",apartment,3,3,14192,8/26/2025,FALSE,"Lokanthali, Bhaktapur"
"Cozy 3 Bed House in Baniyani, Jhapa",house,3,4,24841,9/17/2025,FALSE,"Baniyani, Jhapa"
"Charming Room in Gwarko, Lalitpur",room,1,1,5577,7/15/2025,FALSE,"Gwarko, Lalitpur"
"Elegant Room in Kaagate, Dhankuta",room,1,1,5081,8/16/2025,TRUE,"Kaagate, Dhankuta"
"Elegant 3 Bed Apartment in Biratnagar-14, Morang",apartment,3,3,14079,8/7/2025,FALSE,"Biratnagar-14, Morang"
"Cozy 3 Bed House in Chisapani, Khotang",house,3,1,15799,9/15/2025,TRUE,"Chisapani, Khotang"
"Bright 3 Bed House in Chyasal, Lalitpur",house,3,4,22651,9/13/2025,FALSE,"Chyasal, Lalitpur"
"Elegant Room in Sindhupalchwok, Sindhupalchowk",room,1,1,5348,7/2/2025,TRUE,"Sindhupalchwok, Sindhupalchowk"
"Bright 4 Bed House in Jiri Khimti 9, Tehrathum",house,4,3,19143,7/15/2025,FALSE,"Jiri Khimti 9, Tehrathum"
"Elegant 2 Bed Apartment in Bhurtibang, Baglung",apartment,2,3,14772,7/27/2025,TRUE,"Bhurtibang, Baglung"
"Elegant 2 Bed House in Syuchatar, Kathmansu",house,2,2,15331,9/21/2025,FALSE,"Syuchatar, Kathmansu"
"Elegant 2 Bed Apartment in Benimanipur, Nawalparashi",apartment,2,2,13544,9/21/2025,FALSE,"Benimanipur, Nawalparashi"
"Modern Room in Madhyapur Na.Pa. Ward 3, Bhaktapur",room,1,1,9463,8/7/2025,TRUE,"Madhyapur Na.Pa. Ward 3, Bhaktapur"
"Spacious Room in Ithari - 20, Sunsari",room,1,1,7336,7/20/2025,FALSE,"Ithari - 20, Sunsari"
"Modern Room in Charaha, Palpa",room,1,1,7940,7/13/2025,FALSE,"Charaha, Palpa"
"Bright Room in Samakhushi, Kathmandu",room,1,1,6491,7/19/2025,TRUE,"Samakhushi, Kathmandu"
"Spacious Room in Rajbiraj, Saptari",room,1,1,7407,7/19/2025,FALSE,"Rajbiraj, Saptari"
